,rowCol,traffic_spot,industry,commercial,nala
964,"(15, 19)",3.244177663409027,9.515612172781893,0.0015744562331996372,0.016168025206401235
969,"(15, 14)",3.2631084544060784,9.929181740337146,0.001338541868995215,0.016004923966265447
972,"(15, 11)",3.029256114169892,10.051037333973948,0.0013515227578895952,0.01580078257914363
1003,"(16, 27)",3.8612569092418796,8.847894819826902,0.003826042430081388,0.019803882167462893
1098,"(18, 26)",3.5768080686968124,9.076737634099564,0.001821742549511248,0.018533174629782614
1151,"(19, 20)",3.5364197943329927,9.493241410007887,0.003969157592459848,0.01773182747470671
1342,"(23, 17)",3.0338512760786776,9.702221924898003,0.0009586206796263682,0.02462033252355106
1484,"(26, 16)",3.0315067672849847,9.750119589959837,0.000971781134184158,0.03580094673626707
1486,"(26, 14)",2.987511220431632,9.840509024914633,0.0012044442660144677,0.04620417110593092
1520,"(27, 27)",3.1349789170919644,9.623436939797916,0.0006746006386858642,0.01359428537291518
